1, Carlos Moo, 1256555798423564, 0.0
3, Juan Gomez, 1256485666423564, 0.0
3, Juan Gomez, 1256485798423564, 582.0
2, Rodrigo Mendoza, 1598264853214574, 90.0
4, Juan Benitez, 1234567891127756, 3525.0
5, Alfredo Irrutia, 1234567899188456, 560.0
5, Alfredo Irrutia, 1234567899188156, 560.0
5, Alfredo Irrutia, 1598764853214574, 0.0
6, Luis Mena, 1598764853214574, 890.0
15, Javie Milei, 1548765487546987, 582.0
15, Javie Milei, 1548865487548287, 582.0
123, John Doe, 1234567890123456, 500.0
12, Cristina Fernandez, 8888865427548287, 582.0
8968, Luis Maq, 8796541236548745, 2432.0
63, Maria Yu, 3322114455667788, 414.0
21, Lucia Benitez, 5469874555555555, 895.0
07, Cristiano Ronaldo, 1256352148752156, 8.0
10, Lionelmesis, 8945611111111111, 111.0
